size,bedrooms,floors,age,price
952,2,1,65,271.5
1244,3,2,64,300
1947,3,2,17,539
1725,3,2,42,472
1959,4,2,15,540
1314,2,1,14,412
864,2,1,66,215
1536,3,2,17,385
1430,3,2,20,277
1617,3,2,38,410
1200,2,1,34,264
1689,4,2,18,477
1785,3,2,23,375
1604,3,2,46,402
1040,2,1,22,265
1667,3,2,22,408
1067,2,1,53,282
1307,2,1,45,280
1600,3,2,14,512
1049,3,1,34,299
1800,3,2,10,580
1224,2,2,12,260
1920,4,2,18,600
1710,3,2,25,390
1592,3,2,34,382
1008,2,1,30,270
1700,3,2,19,430
1850,3,2,25,490
1654,3,2,32,375
1216,2,1,24,290
1711,3,2,14,420
1180,2,2,15,280
1380,3,2,21,340
1416,2,1,35,302
1237,3,1,32,310
1580,3,2,22,400
1149,2,1,37,280
1764,3,2,19,440
1200,2,1,41,290
1827,4,2,17,590
1472,3,2,24,352
1064,2,1,42,240
1700,3,2,25,410
1280,3,2,14,298
1432,2,2,10,328
1660,3,2,36,404
1500,2,2,28,324
1178,3,1,36,288
1842,4,2,20,558
